sample_name,taxon_lineage,url
MGYG000000011,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus xylosus_B,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000011/downloads/MGYG000000011.gff
MGYG000000012,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000012/downloads/MGYG000000012.gff
MGYG000000013,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp902362375,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000013/downloads/MGYG000000013.gff
MGYG000000014,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium butyricum,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000014/downloads/MGYG000000014.gff
MGYG000000015,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter mori,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000015/downloads/MGYG000000015.gff
MGYG000000016,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Anaerotignaceae;g__Anaerotignum;s__Anaerotignum sp001304995,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000016/downloads/MGYG000000016.gff
MGYG000000017,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp902362275,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000017/downloads/MGYG000000017.gff
MGYG000000018,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__Coprococcus eutactus,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000018/downloads/MGYG000000018.gff
MGYG000000019,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Enterobacter;s__Enterobacter cloacae_O,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000019/downloads/MGYG000000019.gff
MGYG000000020,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Latilactobacillus;s__Latilactobacillus curvatus,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000020/downloads/MGYG000000020.gff
MGYG000000021,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus vaginalis_A,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000021/downloads/MGYG000000021.gff
MGYG000000022,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_C,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000022/downloads/MGYG000000022.gff
MGYG000000023,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus parasanguinis,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000023/downloads/MGYG000000023.gff
MGYG000000024,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium bifermentans,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000024/downloads/MGYG000000024.gff
MGYG000000025,d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus nepalensis,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000025/downloads/MGYG000000025.gff
MGYG000000026,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Catenibacterium;s__Catenibacterium mitsuokai,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000026/downloads/MGYG000000026.gff
MGYG000000027,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Mitsuokella;s__Mitsuokella jalaludinii,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000027/downloads/MGYG000000027.gff
MGYG000000028,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes hadrus_A,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000028/downloads/MGYG000000028.gff
MGYG000000029,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000029/downloads/MGYG000000029.gff
MGYG000000030,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-603;s__CAG-603 sp900066105,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000030/downloads/MGYG000000030.gff
MGYG000000031,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066205,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000031/downloads/MGYG000000031.gff
MGYG000000032,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__Hungatella effluvii,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000032/downloads/MGYG000000032.gff
MGYG000000033,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Monoglobales_A;f__UBA1381;g__CAG-41;s__CAG-41 sp900066215,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000033/downloads/MGYG000000033.gff
MGYG000000034,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Massilimaliae;s__Massilimaliae timonensis,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000034/downloads/MGYG000000034.gff
MGYG000000035,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A hydrogenotrophica,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000035/downloads/MGYG000000035.gff
MGYG000000036,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Pseudoruminococcus;s__Pseudoruminococcus massiliensis,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000036/downloads/MGYG000000036.gff
MGYG000000037,d__Bacteria;p__Firmicutes;c__Bacilli;o__Haloplasmatales_A;f__Turicibacteraceae;g__Turicibacter;s__Turicibacter sp001543345,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000037/downloads/MGYG000000037.gff
MGYG000000038,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea_A;s__Dorea_A longicatena,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000038/downloads/MGYG000000038.gff
MGYG000000039,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Faecalibacterium;s__Faecalibacterium prausnitzii_H,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000039/downloads/MGYG000000039.gff
MGYG000000040,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1191;s__UBA1191 sp900066305,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000040/downloads/MGYG000000040.gff
MGYG000000041,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__Acetatifactor sp900066365,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000041/downloads/MGYG000000041.gff
MGYG000000042,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900066445,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000042/downloads/MGYG000000042.gff
MGYG000000043,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola sp900066455,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000043/downloads/MGYG000000043.gff
MGYG000000044,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000044/downloads/MGYG000000044.gff
MGYG000000045,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae;g__Faecalibacillus;s__Faecalibacillus intestinalis,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000045/downloads/MGYG000000045.gff
MGYG000000046,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Veillonellales;f__Megasphaeraceae;g__Megasphaera;s__Megasphaera stantonii,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000046/downloads/MGYG000000046.gff
MGYG000000047,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium disporicum_A,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000047/downloads/MGYG000000047.gff
MGYG000000048,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_P;s__Clostridium_P ventriculi,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000048/downloads/MGYG000000048.gff
MGYG000000049,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__GCA-900066495;s__GCA-900066495 sp900066495,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000049/downloads/MGYG000000049.gff
MGYG000000050,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia_A;s__Blautia_A sp900066505,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000050/downloads/MGYG000000050.gff
MGYG000000051,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerosacchariphilus;s__Anaerosacchariphilus sp900066385,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000051/downloads/MGYG000000051.gff
MGYG000000052,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp000508985,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000052/downloads/MGYG000000052.gff
MGYG000000053,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes sp002358415,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000053/downloads/MGYG000000053.gff
MGYG000000054,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides acidifaciens,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000054/downloads/MGYG000000054.gff
MGYG000000055,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum intestinale,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000055/downloads/MGYG000000055.gff
MGYG000000056,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae;g__Muribaculum;s__Muribaculum sp002358615,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000056/downloads/MGYG000000056.gff
MGYG000000057,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp002491635,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000057/downloads/MGYG000000057.gff
MGYG000000058,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eubacterium_I;s__Eubacterium_I sp900066595,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000058/downloads/MGYG000000058.gff
MGYG000000059,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066645,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000059/downloads/MGYG000000059.gff
MGYG000000060,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira eligens_A,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000060/downloads/MGYG000000060.gff
MGYG000000061,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_E,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000061/downloads/MGYG000000061.gff
MGYG000000062,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Intestinibacter;s__Intestinibacter bartlettii,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000062/downloads/MGYG000000062.gff
MGYG000000063,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Emergencia;s__Emergencia sp900066695,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000063/downloads/MGYG000000063.gff
MGYG000000064,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium baratii,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000064/downloads/MGYG000000064.gff
MGYG000000065,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes sp900066705,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000065/downloads/MGYG000000065.gff
MGYG000000066,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755;s__GCA-900066755 sp900066755,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000066/downloads/MGYG000000066.gff
MGYG000000067,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium_B;s__Lachnoclostridium_B sp900066765,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000067/downloads/MGYG000000067.gff
MGYG000000068,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum sp900291975,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000068/downloads/MGYG000000068.gff
MGYG000000069,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Acutalibacteraceae;g__Clostridium_A;s__Clostridium_A leptum,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000069/downloads/MGYG000000069.gff
MGYG000000070,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp900066825,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000070/downloads/MGYG000000070.gff
MGYG000000071,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Pseudoflavonifractor;s__Pseudoflavonifractor capillosus,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000071/downloads/MGYG000000071.gff
MGYG000000072,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__UBA1394;s__UBA1394 sp900066845,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000072/downloads/MGYG000000072.gff
MGYG000000073,d__Bacteria;p__Firmicutes_A;c__Clostridia_A;o__Christensenellales;f__GCA-900066905;g__GCA-900066905;s__GCA-900066905 sp900066905,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000073/downloads/MGYG000000073.gff
MGYG000000074,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes onderdonkii,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000074/downloads/MGYG000000074.gff
MGYG000000075,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Paraclostridium;s__Paraclostridium tenue,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000075/downloads/MGYG000000075.gff
MGYG000000076,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__Roseburia intestinalis,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000076/downloads/MGYG000000076.gff
MGYG000000077,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__Anaerobutyricum soehngenii,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000077/downloads/MGYG000000077.gff
MGYG000000078,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__Lachnospira rogosae_A,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000078/downloads/MGYG000000078.gff
MGYG000000079,d__Bacteria;p__Firmicutes;c__Bacilli;o__Exiguobacterales;f__Exiguobacteraceae;g__Exiguobacterium;s__Exiguobacterium sp902362975,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000079/downloads/MGYG000000079.gff
MGYG000000080,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes caccae,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000080/downloads/MGYG000000080.gff
MGYG000000081,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Mycobacteriales;f__Mycobacteriaceae;g__Corynebacterium;s__Corynebacterium propinquum,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000081/downloads/MGYG000000081.gff
MGYG000000082,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter mesopotamicus,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000082/downloads/MGYG000000082.gff
MGYG000000083,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales_B;f__DSM-1321;g__Peribacillus;s__Peribacillus simplex,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000083/downloads/MGYG000000083.gff
MGYG000000084,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Gemmiger;s__Gemmiger formicilis,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000084/downloads/MGYG000000084.gff
MGYG000000085,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella aerofaciens_F,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000085/downloads/MGYG000000085.gff
MGYG000000086,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp902363045,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000086/downloads/MGYG000000086.gff
MGYG000000087,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__CAG-81;s__CAG-81 sp000435795,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000087/downloads/MGYG000000087.gff
MGYG000000088,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus lutetiensis,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000088/downloads/MGYG000000088.gff
MGYG000000089,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__CAG-353;s__CAG-353 sp900066885,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000089/downloads/MGYG000000089.gff
MGYG000000090,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Lawsonibacter;s__Lawsonibacter sp014287875,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000090/downloads/MGYG000000090.gff
MGYG000000091,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter xylosoxidans,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000091/downloads/MGYG000000091.gff
MGYG000000092,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__UBA7160;s__UBA7160 sp902363135,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000092/downloads/MGYG000000092.gff
MGYG000000093,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella_A;s__Klebsiella_A grimontii,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000093/downloads/MGYG000000093.gff
MGYG000000094,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Coriobacteriaceae;g__Collinsella;s__Collinsella sp902363125,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000094/downloads/MGYG000000094.gff
MGYG000000095,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__GCA-900066755;s__GCA-900066755 sp902363085,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000095/downloads/MGYG000000095.gff
MGYG000000096,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Leuconostoc;s__Leuconostoc pseudomesenteroides,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000096/downloads/MGYG000000096.gff
MGYG000000097,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Ligilactobacillus;s__Ligilactobacillus animalis,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000097/downloads/MGYG000000097.gff
MGYG000000098,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides bouchesdurhonensis,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000098/downloads/MGYG000000098.gff
MGYG000000099,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000099/downloads/MGYG000000099.gff
MGYG000000100,d__Bacteria;p__Firmicutes_C;c__Negativicutes;o__Selenomonadales;f__Massilibacillaceae;g__CABIZH01;s__CABIZH01 sp902363205,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000100/downloads/MGYG000000100.gff
MGYG000000101,d__Bacteria;p__Actinobacteriota;c__Actinomycetia;o__Actinomycetales;f__Micrococcaceae;g__Micrococcus;s__Micrococcus luteus,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000101/downloads/MGYG000000101.gff
MGYG000000102,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Peptostreptococcaceae;g__Terrisporobacter;s__Terrisporobacter sp902363255,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000102/downloads/MGYG000000102.gff
MGYG000000103,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__Bacilliculturomica;s__Bacilliculturomica massiliensis,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000103/downloads/MGYG000000103.gff
MGYG000000104,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium cuniculi,https://www.ebi.ac.uk/metagenomics/api/v1/genomes/MGYG000000104/downloads/MGYG000000104.gff
